Player,Team,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
Todd Gurley,LAR,289.5,1304,4.50,11,66.2,625.7,9.45,3.6,1.8,277
Le'Veon Bell,PIT,305.2,1313.8,4.30,9.6,82.8,660.2,7.97,2.7,2.1,267
Ezekiel Elliott,DAL,315.5,1427.4,4.52,10.8,41.4,374.6,9.05,1.7,1.3,252.8
David Johnson,ARI,284.3,1091.5,3.84,8.4,75.8,763.2,10.07,3.1,2.9,248.5
Alvin Kamara,NO,169.8,816.2,4.81,7,74.5,710.8,9.54,3.9,0.9,216.2
Leonard Fournette,JAC,290.5,1184.2,4.08,9.6,40.2,327.4,8.14,1.2,0.8,214.3
Melvin Gordon,LAC,274.9,1074.1,3.91,7.5,56.6,473.2,8.36,2.5,0.7,213.3
Kareem Hunt,KC,251.4,1109,4.41,7.9,52.9,424.5,8.02,2.2,1.5,211.2
Saquon Barkley,NYG,260.3,1120.2,4.30,7.4,57.5,441.5,7.68,2.1,1.3,210.9
Dalvin Cook,MIN,259.5,1092.4,4.21,7.1,44.8,360.4,8.04,1.7,1.6,195.2
Devonta Freeman,ATL,223,975.8,4.38,8.1,44.9,381,8.49,1.8,1.3,192.1
Christian McCaffrey,CAR,175.8,705.3,4.01,4.4,75.6,659.9,8.73,4.1,1,185.7
Jordan Howard,CHI,252.6,1065.1,4.22,7.4,27.7,203.2,7.34,0.7,1,173.7
Joe Mixon,CIN,233.2,911.5,3.91,6.7,39.1,325.1,8.31,1.2,1.7,167.3
LeSean McCoy,BUF,223.4,907.3,4.06,5.3,46.1,359,7.79,1.6,1,165.9
Alex Collins,BAL,233.2,978,4.19,6.4,29.3,216.8,7.40,0.8,2.3,157.5
Derrick Henry,TEN,213.2,915.8,4.30,6.9,19.5,177.5,9.10,0.9,0.7,154.4
Jay Ajayi,PHI,225.9,977.3,4.33,5.5,26.5,189.9,7.17,0.7,2,150.3
Lamar Miller,HOU,218.3,841.8,3.86,4.3,35.9,294.7,8.21,1.9,0.8,148.9
Kenyan Drake,MIA,184.6,796.9,4.32,5.2,42.2,313.5,7.43,1.1,1.3,145.7
Royce Freeman,DEN,211.5,859.6,4.06,5.3,32.2,247.2,7.68,1,1.4,145.3
