Player,Team,FG,FGA,XP,FPTS
Stephen Gostkowski,NE,31.8,36.7,48.6,144
Greg Zuerlein,LAR,32.2,36.4,42.3,138.8
Chris Boswell,PIT,30.8,35.3,41.4,133.7
Harrison Butker,KC,31.4,36.4,38.9,133
Justin Tucker,BAL,32.1,35.8,36,132.4
Matt Bryant,ATL,30.5,34.7,40.2,131.7
Wil Lutz,NO,27.9,32.9,44.3,127.9
Jake Elliott,PHI,28.8,33.9,41.5,127.9
Robbie Gould,SF,30.5,34.5,35.2,126.7
Matt Prater,DET,28.7,33.3,38.3,124.4
Graham Gano,CAR,29,33.4,35.7,122.6
Mason Crosby,GB,25.7,31.3,43,120
Adam Vinatieri,IND,27.9,32.4,35.1,118.8
Josh Lambo,JAC,27.4,31.5,36.6,118.7
Ryan Succop,TEN,27.1,32.4,35.8,117.3
Caleb Sturgis,LAC,25.3,30,39.5,115.3
Brett Maher,DAL,24.9,30.4,38.6,113.3
Sebastian Janikowski,SEA,25,30.3,36.7,111.7
Ka'imi Fairbairn,HOU,25,30.7,36.4,111.5
Phil Dawson,ARI,25.9,31.7,31.8,109.3
Chandler Catanzaro,TB,25,30.2,33.6,108.6
Dustin Hopkins,WAS,24.1,30.3,35,107.2
Brandon McManus,DEN,25,31.8,32,107
Mike Nugent,OAK,23.6,29.6,35.4,106.3
Steven Hauschka,BUF,25,29,28.5,103.5
Cody Parkey,CHI,23.1,27.5,31.7,101
Randy Bullock,CIN,22.6,26.7,32.8,100.7
Aldrick Rosas,NYG,22.3,29.3,32.6,99.6
Jason Sanders,MIA,22.4,27.3,31.8,98.9
Daniel Carlson,MIN,22.6,27.1,30,97.7
Jason Myers,NYJ,22,27.8,31,97.1
Zane Gonzalez,CLE,21.4,27.7,32.1,96.2
Eddy Pineiro,OAK,20,25,32,92
