Player,Team,Int,DFR,FF,SACK,DTD,STY,PA,TYdA,FPTS
Chicago Bears,CHI,16.1,11.8,17.4,43.3,3.7,0.5,313.8,5116.0,122.1
Los Angeles Rams,LAR,16.2,11.1,16.4,41.4,3.1,0.5,348.4,5674.5,115.8
Baltimore Ravens,BAL,16.4,9.3,13.0,38.3,3.8,0.0,318.5,5139.6,112.5
New Orleans Saints,NO,14.3,11.3,17.6,43.1,2.7,0.5,337.3,5678.6,111.6
Cleveland Browns,CLE,16.5,11.0,16.7,38.8,3.0,0.0,353.0,5615.4,111.5
Minnesota Vikings,MIN,14.9,8.6,12.8,45.4,2.9,0.5,328.0,5205.8,110.9
Buffalo Bills,BUF,16.5,10.9,17.1,37.0,2.9,0.0,345.1,5102.0,109.0
Los Angeles Chargers,LAC,14.2,10.0,13.8,40.3,3.1,0.5,329.0,5462.8,108.6
Jacksonville Jaguars,JAC,14.5,9.7,12.5,40.1,3.2,0.5,320.0,5143.3,108.6
Philadelphia Eagles,PHI,13.6,10.1,13.3,41.1,3.0,1.0,333.9,5509.6,108.5
Denver Broncos,DEN,13.4,11.1,17.1,41.1,2.8,0.5,357.5,5615.9,107.9
Indianapolis Colts,IND,13.6,11.5,17.2,39.8,2.8,0.5,358.7,5640.2,107.5
Houston Texans,HOU,13.5,12.2,19.2,36.0,3.3,0.0,341.7,5641.7,107.2
Carolina Panthers,CAR,13.2,11.2,18.2,39.9,2.9,0.5,381.2,5819.3,107.0
Pittsburgh Steelers,PIT,12.9,9.6,13.3,45.1,2.7,0.0,346.3,5440.1,106.1
Kansas City Chiefs,KC,13.3,11.1,16.8,40.3,2.7,0.5,382.7,5903.3,106.0
New England Patriots,NE,15.5,9.5,14.3,35.7,3.2,0.5,322.1,5542.9,105.9
Arizona Cardinals,ARI,12.5,9.8,15.1,43.4,2.7,1.0,391.9,5763.1,105.8
Washington Redskins,WAS,13.2,10.4,16.9,43.2,2.3,0.0,369.7,5649.2,104.2
Seattle Seahawks,SEA,12.9,11.6,16.9,37.3,2.8,0.0,354.3,5659.0,102.9
Dallas Cowboys,DAL,12.8,11.4,15.1,37.7,2.5,0.0,340.6,5415.1,101.0
Tennessee Titans,TEN,13.5,9.1,14.0,38.7,2.7,0.0,336.3,5555.3,99.8
Green Bay Packers,GB,12.2,9.3,12.6,40.3,2.6,0.0,388.1,5744.1,98.7
New York Jets,NYJ,13.7,9.4,13.7,35.2,2.7,0.5,389.7,5746.3,98.7
Atlanta Falcons,ATL,13.4,9.1,13.1,36.0,2.6,0.5,391.4,5933.5,97.4
San Francisco 49ers,SF,10.8,9.5,13.1,39.2,2.8,0.0,409.0,5652.4,96.4
Detroit Lions,DET,11.1,9.1,13.8,38.0,2.5,0.5,371.9,5700.9,94.6
Cincinnati Bengals,CIN,14.2,8.4,12.6,33.3,2.7,0.0,395.5,5919.6,94.5
New York Giants,NYG,13.9,8.5,11.2,32.6,2.4,0.5,392.1,5800.7,92.5
Tampa Bay Buccaneers,TB,10.8,9.8,14.3,34.3,2.3,0.5,429.7,6169.7,90.2
Miami Dolphins,MIA,13.3,8.3,11.8,28.9,2.8,0.5,417.8,6164.2,90.1
Oakland Raiders,OAK,12.8,7.6,10.5,25.6,2.1,0.0,434.2,6188.2,79.0
