Player,Team,Recpt,Yd,Avg,TD,FL,FPTS
Ed Dickson,SEA,15.9,186.6,11.7,1.4,0.1,26.8
Adam Shaheen,CHI,17,184.4,10.8,1.4,0.1,26.7
Mark Andrews,BAL,18.9,188.8,10.0,1.3,0.2,26.3
Rico Gathers,DAL,17.2,178.6,10.4,1.5,0.5,25.6
Dwayne Allen,NE,13.8,154.4,11.2,1.7,0.2,24.9
Demetrius Harris,KC,15.6,164,10.5,1.3,0.1,24
Jordan Leggett,NYJ,16.4,167.3,10.2,1.1,0.3,22.7
Nick Boyle,BAL,19,161.4,8.5,1,0.1,21.7
Josh Hill,NO,16.5,154,9.3,1.3,1.4,20.7
Seth DeValve,CLE,12.8,138.4,10.8,1.1,0.2,20.2
David Morgan,MIN,14,140.6,10.0,1.1,0.3,20.1
Will Dissly,SEA,13.5,133.9,9.9,1.2,0.2,19.9
Sean Culkin,LAC,11.5,127.6,11.1,1.2,0.1,19.8
Dion Sims,CHI,12.1,131.5,10.9,1,0.1,18.7
Levine Toilolo,DET,12.5,125.4,10.0,1,0.1,18.5
Geoff Swaim,DAL,10.4,113.3,10.9,1.2,0.2,18
Rhett Ellison,NYG,14,126.1,9.0,0.9,0.3,17.6
A.J. Derby,MIA,13,120.6,9.3,1,0.4,17.1
Lance Kendricks,GB,11.2,115.2,10.3,0.9,0.1,16.6
Darren Fells,CLE,11.1,120.1,10.8,0.9,0.5,16.3
Logan Thomas,BUF,10.9,121.1,11.1,0.7,0.1,16.2
Ian Thomas,CAR,9.7,102.6,10.6,0.8,0.2,14.7
MarQueis Gray,MIA,11.1,107.8,9.7,0.6,0.2,14
Richard Rodgers,PHI,8,88.9,11.1,0.8,0.1,13.4
Niles Paul,JAC,8.9,85.8,9.6,0.8,0.1,13.2
James O'Shaughnessy,JAC,8.2,84.5,10.3,0.8,0.1,12.8
Michael Roberts,DET,8.5,89,10.5,0.7,0.1,12.7
Durham Smythe,MIA,9.3,89.6,9.6,0.7,0.3,12.3
Jacob Hollister,NE,7.8,81,10.4,0.7,0.1,12.1
Erik Swoope,IND,7,87.2,12.5,0.6,0.1,12.1
Maxx Williams,BAL,11.2,92.6,8.3,0.5,0.4,11.7
Eric Tomlinson,NYJ,7,78.9,11.3,0.6,0.1,11.4
Hakeem Valles,DET,7.8,77.2,9.9,0.6,0.1,11.3
Dalton Schultz,DAL,8.3,83.7,10.1,0.5,0.3,11
Eric Saubert,ATL,6.4,64.9,10.1,0.6,0,10.2
Neal Sterling,NYJ,6.4,79.1,12.4,0.3,0.1,9.4
Jordan Thomas,HOU,5.4,56.1,10.4,0.6,0,8.9
Cole Wick,SF,5.3,56.4,10.6,0.5,0,8.5
Lee Smith,OAK,6.9,60.9,8.8,0.3,0.1,7.9
Derek Carrier,OAK,7.9,59.4,7.5,0.3,0.1,7.7
Logan Paulsen,ATL,5.1,49.9,9.8,0.5,0.1,7.6
Jeremy Sprinkle,WAS,4.5,48.7,10.8,0.5,0.1,7.5
Daniel Brown,CHI,5.3,54.5,10.3,0.3,0.1,7
Alex Ellis,KC,4.9,49.5,10.1,0.3,0,7
C.J. Uzomah,CIN,6.1,57.1,9.4,0.2,0.1,6.8
Orson Charles,CLE,4,55,13.8,0.2,0.1,6.5
Tyler Conklin,NE,4.7,53,11.3,0.2,0,6.3
Khari Lee,BUF,4.4,43.5,9.9,0.3,0,6.3
Cethan Carter,CIN,4,43.3,10.8,0.3,0,6.2
Alan Cross,TB,3.8,38.8,10.2,0.4,0,6.1
Antony Auclair,TB,3.8,40.6,10.7,0.3,0.1,5.9
Troy Fumagalli,DEN,4,42,10.5,0.3,0.1,5.8
Matt LaCosse,DEN,3.9,40.7,10.4,0.3,0,5.8
Xavier Grimble,PIT,4.1,35,8.5,0.4,0.1,5.5
Mason Schreck,CIN,4,35,8.8,0.3,0,5.3
Luke Stocker,TEN,4.1,32,7.8,0.4,0.1,5.3
Ben Braunecker,CHI,3.5,37.4,10.7,0.3,0.1,5.1
Gabe Holmes,ARI,3.2,35.8,11.2,0.2,0,4.9
Chris Manhertz,CAR,3.6,31.8,8.8,0.2,0,4.6
Bucky Hodges,PIT,3.5,30.5,8.7,0.3,0,4.6
Michael Hoomanawanui,NO,3,29,9.7,0.2,0,4.1
Ross Travis,IND,2.6,23.1,8.9,0.2,0,3.5
Darrell Daniels,SEA,2.8,24.9,8.9,0.2,0.1,3.2
Temarrick Hemingway,LAR,2,15,7.5,0.1,0,2.1
