Player,Team,Recpt,Yd,Avg,TD,FL,FPTS
Rob Gronkowski,NE,74.1,1090.7,14.7,9.4,0.2,165.3
Travis Kelce,KC,84,1015.1,12.1,6.7,0.1,141.3
Zach Ertz,PHI,78.1,869.7,11.1,6.7,0.6,126.3
Greg Olsen,CAR,63.2,762.8,12.1,5,0.2,106.1
Delanie Walker,TEN,67.5,772,11.4,5,1.1,105.2
Jimmy Graham,GB,62.1,646.1,10.4,6.9,0.5,105
Evan Engram,NYG,66.5,741.9,11.2,5.2,0.2,104.9
Kyle Rudolph,MIN,61.4,627.8,10.2,6.3,0.2,100.3
Trey Burton,CHI,57.7,652.3,11.3,4.7,0.2,93.4
Jordan Reed,WAS,63.9,651.7,10.2,4.8,0.5,92.7
Jack Doyle,IND,65.9,622.6,9.4,4.8,1.2,88.8
David Njoku,CLE,48.2,563.1,11.7,4.5,0.4,82.5
George Kittle,SF,48.4,549.4,11.4,4.2,0.3,79.3
Cameron Brate,TB,44.3,528.9,11.9,4.1,0.2,77.2
Charles Clay,BUF,54.4,581.2,10.7,3.2,0.1,77.1
Jared Cook,OAK,47.8,574.1,12.0,3.3,0.7,76.2
Tyler Eifert,CIN,41.3,468.6,11.3,4.7,0.2,74.4
Ricky Seals-Jones,ARI,38.3,477.7,12.5,4.1,0.3,71.9
Vance McDonald,PIT,41.7,497.2,11.9,3.7,0.1,71.5
Eric Ebron,IND,45.5,492.2,10.8,3.8,0.5,71.1
Austin Seferian-Jenkins,JAC,46.6,493.1,10.6,3.7,0.6,70.4
Austin Hooper,ATL,43.9,483.3,11.0,3.7,0.2,70.1
O.J. Howard,TB,37.6,494.5,13.2,4,1.7,69.9
Benjamin Watson,NO,46.1,466.8,10.1,3.9,0.2,69.5
Mike Gesicki,MIA,43.1,445.1,10.3,3.3,0.3,63.9
Vernon Davis,WAS,33.5,423.7,12.6,2.4,1.4,54.1
Antonio Gates,LAC,32.2,339,10.5,3.3,0.5,52.6
Hayden Hurst,BAL,37.9,368.2,9.7,2.5,0.2,51.4
Luke Willson,DET,32.9,331.2,10.1,2.9,0.2,50.2
Ryan Griffin,HOU,33.7,361.5,10.7,2.3,0.8,48.4
Blake Jarwin,DAL,30.3,313.7,10.4,2.4,0.3,45.3
Garrett Celek,SF,24.2,297.4,12.3,2.6,0.2,44.9
Nick Vannett,SEA,28.7,292.6,10.2,2.6,0.2,44.6
Dallas Goedert,PHI,27.2,286,10.5,2.6,0.3,43.4
Jake Butt,DEN,27.7,296,10.7,2.2,0.3,42.3
Tyler Higbee,LAR,27.3,294.3,10.8,2.2,0.3,41.8
Virgil Green,LAC,26.2,285.3,10.9,2.2,0.2,41.6
Tyler Kroft,CIN,25.2,256.5,10.2,2.3,0.3,38.8
Jesse James,PIT,27.9,268.2,9.6,1.9,0.2,38.2
Jonnu Smith,TEN,23.8,246.2,10.3,2,0.2,36.5
Gerald Everett,LAR,22,243.5,11.1,2.3,0.8,36.4
Jordan Akins,HOU,23.6,242.7,10.3,1.9,0.3,34.8
Chris Herndon IV,NYJ,23.9,244.9,10.2,1.8,0.3,34.4
Jermaine Gresham,ARI,26.2,256.5,9.8,1.4,0.2,33.6
Jeff Heuerman,DEN,20.4,231,11.3,1.7,0.3,32.7
Marcedes Lewis,GB,16.9,182.6,10.8,2.3,0.2,31.8
