Player,Team,Recpt,Yd,Avg,TD,FL,FPTS
Chester Rogers,IND,31.3,417.2,13.3,2.2,0.2,55.6
Terrelle Pryor,NYJ,34.4,429.0,12.5,2.1,0.2,55.6
James Washington,PIT,28.8,383.7,13.3,2.4,0.3,52.2
Christian Kirk,ARI,32.5,402.9,12.4,2.0,0.3,51.5
Antonio Callaway,CLE,30.2,389.9,12.9,2.2,0.4,51.2
Brice Butler,ARI,25.2,379.1,15.0,2.3,0.2,51.1
Trent Taylor,SF,35.2,401.9,11.4,2.2,1.1,50.9
Tre'Quan Smith,NO,28.5,365.0,12.8,2.4,0.6,49.7
Adam Humphries,TB,37.3,393.0,10.5,1.7,0.5,48.7
Taylor Gabriel,CHI,29.6,363.3,12.3,1.9,0.2,48.5
Zay Jones,BUF,28.8,357.7,12.4,2.0,0.1,47.8
Tyler Boyd,CIN,31.6,353.5,11.2,1.8,0.3,46.1
Eric Decker,NE,26.9,328.1,12.2,2.2,0.1,45.8
Kendall Wright,MIN,31.4,347.9,11.1,1.8,0.2,45.2
Jaron Brown,SEA,21.8,301.8,13.8,2.4,0.2,44.4
Torrey Smith,CAR,24.5,316.7,12.9,1.9,0.2,42.6
Seth Roberts,OAK,31.3,327.5,10.5,1.7,1.2,40.4
Curtis Samuel,CAR,24.9,274.6,11.0,1.5,0.2,40.2
TJ Jones,DET,23.1,301.7,13.1,1.5,0.2,39.0
Laquon Treadwell,MIN,23.7,284.2,12.0,1.7,0.2,38.2
Tavon Austin,DAL,22.5,207.8,9.2,0.7,2.7,37.5
Chad Williams,ARI,22.9,274.0,12.0,1.4,0.3,36.4
Cordarrelle Patterson,NE,19.4,201.4,10.4,1.1,0.3,35.7
Keke Coutee,HOU,20.6,265.6,12.9,1.4,0.4,34.1
Cody Latimer,NYG,21.5,269.1,12.5,1.2,0.3,33.8
Bruce Ellington,HOU,23.4,271.6,11.6,1.1,0.4,33.5
Chris Conley,KC,20.5,254.9,12.4,1.2,0.1,32.5
Phillip Dorsett,NE,17.5,238.8,13.6,1.4,0.2,32.3
Mack Hollins,PHI,18.1,239.1,13.2,1.5,0.3,32.2
Justin Hardy,ATL,17.8,223.2,12.5,1.5,0.2,31.2
Dante Pettis,SF,18.5,241.4,13.0,1.1,0.4,30.2
Kenny Britt,NE,15.6,207.9,13.3,1.7,0.3,30.2
Aldrick Robinson,SF,18.1,246.6,13.6,0.9,0.4,29.4
D.J. Chark,JAC,17.4,227.9,13.1,1.2,0.6,28.6
Braxton Miller,HOU,19.1,204.3,10.7,1.2,0.2,28.4
Jeremy Kerley,BUF,22.3,245.0,11.0,1.0,1.0,28.3
Kevin White,CHI,19.7,211.8,10.8,0.7,0.4,24.6
Daurice Fountain,IND,13.9,172.7,12.4,1.2,0.0,24.3
J'Mon Moore,GB,14.0,175.5,12.5,1.1,0.3,23.4
DaeSean Hamilton,DEN,14.4,180.6,12.5,1.0,0.4,23.1
Bennie Fowler,CHI,13.0,170.1,13.1,1.1,0.3,23.0
Deonte Thompson,DAL,13.1,180.3,13.8,0.8,0.1,22.7
Roger Lewis,NYG,15.1,179.6,11.9,0.9,0.4,22.6
Eli Rogers,PIT,17.5,202.5,11.6,1.0,1.9,22.5
Russell Shepard,NYG,13.2,179.2,13.6,0.6,0.0,21.3
Josh Reynolds,LAR,12.9,158.9,12.3,1.1,0.5,21.3
Breshad Perriman,BAL,13.9,164.6,11.8,0.8,0.2,21.0
Andre Holmes,BUF,13.4,155.2,11.6,0.9,0.2,20.6
Demarcus Robinson,KC,13.4,153.3,11.4,0.8,0.0,20.1
Chris Moore,BAL,11.7,140.9,12.0,0.8,0.1,19.8
Brian Quick,WAS,12.8,169.7,13.3,0.5,0.5,19.2
Rashard Higgins,CLE,12.0,142.0,11.8,0.9,0.3,19.1
Jakeem Grant,MIA,12.1,161.3,13.3,1.0,2.3,17.7
Ryan Switzer,OAK,11.9,139.6,11.7,0.6,0.3,17.3
DeAngelo Yancey,GB,12.0,167.0,13.9,0.0,0.0,16.7
ArDarius Stewart,NYJ,10.2,129.9,12.7,0.6,0.1,16.5
Kamar Aiken,PHI,9.0,114.0,12.7,0.8,0.0,16.2
Amara Darboh,SEA,10.2,118.4,11.6,0.7,0.1,15.6
Josh Bellamy,CHI,8.9,117.7,13.2,0.6,0.1,15.4
Tajae Sharpe,TEN,9.6,121.3,12.6,0.6,0.1,15.3
Tavarres King,MIN,7.0,98.2,14.0,0.6,0.1,13.0
Paul Turner,NE,7.7,92.8,12.1,0.6,0.0,12.9
Darrius Heyward-Bey,PIT,7.0,100.9,14.4,0.4,0.1,12.9
Jordan Lasley,BAL,8.5,96.0,11.3,0.5,0.0,12.6
Jordan Taylor,DEN,7.7,96.0,12.5,0.5,0.1,12.1
Hunter Sharp,NYG,6.0,67.6,11.3,0.9,0.1,11.8
Travis Rudolph,NYG,7.7,95.9,12.5,0.4,0.1,11.8
Damiere Byrd,CAR,7.2,90.8,12.6,0.4,0.1,11.5
Bobo Wilson,TB,6.2,82.9,13.4,0.5,0.0,11.2
Rod Streater,BUF,6.5,83.8,12.9,0.4,0.0,11.0
Michael Floyd,NO,7.1,76.8,10.8,0.6,0.1,11.0
Johnny Holton,OAK,5.4,83.9,15.5,0.6,0.7,10.4
Sammie Coates,HOU,4.8,80.5,16.8,0.4,0.1,10.1
Matt Slater,NE,4.9,63.4,12.9,0.6,0.0,10.1
Justin Hunter,PIT,3.9,52.1,13.4,0.8,0.1,10.1
Jordan Leslie,DEN,5.2,70.9,13.6,0.5,0.0,10.0
Michael Campanaro,TEN,6.2,75.0,12.1,0.4,0.1,10.0
DeAndre Smelter,JAC,5.6,72.3,12.9,0.5,0.0,10.0
Brandon Tate,NO,4.0,61.8,15.5,0.7,0.1,10.0
Kasen Williams,IND,8.0,89.0,11.1,0.2,0.1,9.9
James Wright,IND,6.2,74.0,11.9,0.4,0.0,9.9
Darius Jennings,TEN,5.9,71.0,12.0,0.5,0.0,9.8
Kendrick Bourne,SF,6.6,91.8,13.9,0.1,0.1,9.6
Lucky Whitehead,NYJ,5.9,67.4,11.4,0.4,0.0,9.4
Braxton Berrios,NE,5.0,70.0,14.0,0.4,0.0,9.4
Jake Lampman,TB,5.7,72.1,12.6,0.4,0.0,9.4
Seantavius Jones,IND,5.5,67.5,12.3,0.4,0.0,9.2
Cody Core,CIN,8.4,86.6,10.3,0.1,0.1,9.1
Austin Carr,NO,5.0,67.0,13.4,0.4,0.0,9.1
Leonte Carroo,MIA,7.1,82.8,11.7,0.2,0.1,9.1
DeVier Posey,BAL,5.4,68.0,12.6,0.4,0.0,9.1
Josh Huff,NO,6.4,70.2,11.0,0.3,0.0,9.1
Geremy Davis,LAC,4.7,64.2,13.7,0.4,0.0,9.0
Carlos Henderson,DEN,5.5,70.0,12.7,0.4,0.1,8.9
Jace Billingsley,DET,5.5,70.9,12.9,0.3,0.0,8.8
Byron Marshall,WAS,5.5,67.1,12.2,0.4,0.0,8.8
Krishawn Hogan,IND,5.3,63.8,12.0,0.4,0.0,8.8
Dylan Cantrell,LAC,4.0,64.0,16.0,0.4,0.0,8.8
Marquez Valdes-Scantling,GB,5.0,58.0,11.6,0.5,0.0,8.8
Mike Thomas,LAR,4.9,87.6,17.9,0.1,0.2,8.7
Jaydon Mickens,JAC,4.0,50.6,12.7,0.8,0.7,8.7
Daniel Braverman,KC,5.0,57.5,11.5,0.5,0.0,8.7
Pharoh Cooper,LAR,8.4,80.7,9.6,0.2,0.7,8.7
Marlon Brown,CHI,5.5,68.3,12.4,0.3,0.0,8.6
Deon Cain,IND,5.0,61.0,12.2,0.4,0.0,8.5
Richie James,SF,5.0,69.0,13.8,0.3,0.1,8.5
Rashad Greene,JAC,5.9,66.4,11.3,0.3,0.0,8.5
Alex Erickson,CIN,6.1,77.5,12.7,0.2,0.4,8.2
Equanimeous St. Brown,GB,5.5,67.0,12.2,0.3,0.0,8.2
DeAndrew White,DEN,4.4,64.7,14.7,0.3,0.1,8.1
Jarius Wright,CAR,5.5,63.5,11.5,0.3,0.1,8.1
Russell Gage,ATL,4.0,62.0,15.5,0.3,0.0,8.0
Justin Watson,TB,5.0,64.0,12.8,0.3,0.1,8.0
Reggie Davis,ATL,4.0,62.0,15.5,0.3,0.0,8.0
Charone Peake,NYJ,6.7,65.4,9.8,0.3,0.1,8.0
Maurice Harris,WAS,4.8,63.0,13.1,0.3,0.1,7.9
Nick Williams,TEN,6.0,69.0,11.5,0.2,0.1,7.9
Trey Quinn,WAS,5.0,63.0,12.6,0.3,0.1,7.9
Andy Jones,DET,4.8,62.9,13.1,0.3,0.1,7.9
De'Anthony Thomas,KC,5.3,47.4,8.9,0.5,0.0,7.8
Marquis Bundy,NYG,5.0,63.2,12.6,0.3,0.0,7.8
Markus Wheaton,PHI,4.2,58.5,13.9,0.4,0.1,7.7
Tanner McEvoy,SEA,4.8,64.8,13.5,0.4,0.5,7.6
Jaleel Scott,BAL,6.0,66.5,11.1,0.2,0.0,7.6
Tommylee Lewis,NO,5.1,58.2,11.4,0.4,0.6,7.5
Victor Bolden Jr.,SF,4.1,52.5,12.8,0.4,0.0,7.5
Demarcus Ayers,CHI,4.6,57.5,12.5,0.3,0.0,7.4
Trevor Davis,GB,5.4,66.4,12.3,0.2,0.3,7.3
Marvin Hall,ATL,3.8,56.9,15.0,0.3,0.0,7.2
Marcell Ateman,OAK,4.0,56.0,14.0,0.3,0.1,7.2
