Player,Team,Recpt,Yd,Avg,TD,FL,FPTS
Troy Fumagalli,DEN,1.8,18.8,10.44,0.1,0.0,2.5
Ryan Hewitt,TEN,1.5,16.8,11.20,0.1,0.0,2.3
Temarrick Hemingway,CAR,0.0,0.0,0.00,0.0,0.0,0.0
Vince Mayle,LAC,0.0,0.0,0.00,0.0,0.0,0.0
Thomas Duarte,ATL,0.0,0.0,0.00,0.0,0.0,0.0
Garrett Dickerson,NYG,0.0,0.0,0.00,0.0,0.0,0.0
Ryan Izzo,MIN,0.0,0.0,0.00,0.0,0.0,0.0
Alex Ellis,PHI,0.0,0.0,0.00,0.0,0.0,0.0
Moritz Bohringer,CIN,0.0,0.0,0.00,0.0,0.0,0.0
Cole Hikutini,MIN,0.0,0.0,0.00,0.0,0.0,0.0
Marcus Lucas,DAL,0.0,0.0,0.00,0.0,0.0,0.0
Donnie Ernsberger,JAC,0.0,0.0,0.00,0.0,0.0,0.0
Austin Traylor,DET,0.0,0.0,0.00,0.0,0.0,0.0
