Player,Team,Recpt,Yd,Avg,TD,FL,FPTS
DeAndre Hopkins,HOU,105.4,1449.3,13.75,10.4,1.3,204.9
Julio Jones,ATL,104.8,1563.1,14.92,7.8,1.3,200.2
Tyreek Hill,KC,81.2,1394.1,17.17,10.2,0.7,199.0
Davante Adams,GB,105.6,1328.6,12.58,11.1,0.7,198.0
JuJu Smith-Schuster,PIT,104.4,1410.0,13.51,8.9,0.8,193.0
Michael Thomas,NO,116.7,1361.8,11.67,8.6,0.9,186.0
Odell Beckham Jr.,CLE,88.6,1262.9,14.25,9.3,0.7,181.0
Mike Evans,TB,90.0,1398.3,15.54,7.1,0.8,181.0
Antonio Brown,OAK,95.3,1196.3,12.55,8.7,0.7,170.7
Keenan Allen,LAC,98.2,1298.1,13.22,6.6,0.8,167.6
Adam Thielen,MIN,93.9,1232.5,13.13,6.9,0.8,163.5
Amari Cooper,DAL,81.8,1121.6,13.71,7.9,1.0,157.7
Brandin Cooks,LAR,74.3,1175.4,15.82,6.5,0.7,155.4
Robert Woods,LAR,79.0,1168.1,14.79,6.4,0.7,153.8
Julian Edelman,NE,90.3,1147.7,12.71,6.3,0.8,151.3
Tyler Lockett,SEA,69.0,1079.8,15.65,7.4,0.7,151.1
Stefon Diggs,MIN,92.1,1065.0,11.56,7.5,0.7,150.5
Kenny Golladay,DET,73.7,1090.3,14.79,6.2,0.7,144.7
T.Y. Hilton,IND,71.4,1126.9,15.78,5.1,0.7,141.9
Cooper Kupp,LAR,68.9,937.2,13.60,7.2,0.7,135.8
Chris Godwin,TB,74.3,990.8,13.34,6.2,0.8,134.7
Mike Williams,LAC,54.9,831.3,15.14,8.1,0.7,130.3
Tyler Boyd,CIN,75.2,973.4,12.94,5.5,0.7,129.1
Alshon Jeffery,PHI,66.4,890.7,13.41,6.7,0.7,128.1
Robby Anderson,NYJ,58.5,889.4,15.20,6.9,1.3,127.6
D.J. Moore,CAR,66.7,1044.4,15.66,4.3,1.9,126.5
Calvin Ridley,ATL,64.7,855.1,13.22,7.0,0.8,126.3
A.J. Green,CIN,62.4,894.8,14.34,6.2,1.2,124.2
Allen Robinson,CHI,64.8,904.1,13.95,5.6,0.7,122.6
Sammy Watkins,KC,59.1,861.0,14.57,6.0,0.8,120.7
Josh Gordon,NE,52.5,869.0,16.55,5.8,0.6,120.6
Marvin Jones,DET,56.8,817.2,14.39,6.1,0.6,117.4
Christian Kirk,ARI,64.8,904.4,13.96,4.7,0.7,117.2
Sterling Shepard,NYG,66.9,882.1,13.19,4.7,0.6,115.5
Jarvis Landry,CLE,70.0,847.0,12.10,5.2,0.7,114.7
Curtis Samuel,CAR,56.0,780.2,13.93,6.1,0.7,113.4
Dede Westbrook,JAC,68.2,826.0,12.11,5.1,1.4,110.5
Corey Davis,TEN,62.6,850.5,13.59,4.2,0.7,108.9
Dante Pettis,SF,55.7,766.8,13.77,5.5,0.6,108.4
Larry Fitzgerald,ARI,70.6,769.5,10.90,5.3,0.7,107.3
Emmanuel Sanders,DEN,66.3,809.8,12.21,4.3,0.7,105.4
Courtland Sutton,DEN,49.4,757.2,15.33,4.9,0.2,104.7
Will Fuller,HOU,50.2,730.4,14.55,5.4,0.6,104.1
DeSean Jackson,PHI,42.9,754.9,17.60,4.7,0.6,102.2
Marquez Valdes-Scantling,GB,52.1,771.8,14.81,4.4,0.7,102.1
